category,Description,Test Steps,Expected Results
Fund Transfer,Encounter Technical Issues during Transfer,"1. Navigate to the ""Transfers"" section.  
2. Simulate a technical issue by initiating a transfer during system maintenance or downtime.","The application should handle the technical problem gracefully, displaying an error message that acknowledges the issue and advises the user to attempt the transfer later when the system is available."
Fund Transfer,Experience Delay or Timeout during Transfer,"1. Navigate to the ""Transfers"" section.  
2. Perform a transfer and deliberately disrupt the network connectivity or simulate a long processing delay.","The application should inform the user about the delay or timeout, displaying a notification indicating the issue and advising the user to verify the status later or contact support if necessary."
Fund Transfer,Attempt to Initiate an Invalid or Unsupported Transfer,"1. Navigate to the ""Transfers"" section.  
2. Try to conduct a transfer with unsupported characters, invalid formats, or without mandatory details (like amount, recipient, etc.).","The application should reject the invalid transfer attempt, displaying a prompt highlighting the specific error and guiding the user to fill in the required details correctly for a valid transfer."
Transaction,View Recent Transactions,"1. Log in to the banking website. 
2. Navigate to the ""Transaction History"" section.","User can see a list of recent transactions, including date, description, and amount."
Transaction,Search Transaction History,"1. Log in to the banking website. 
2. Access the ""Transaction History"" section. 
3. Use the search feature to find a specific transaction.",The specific transaction is displayed in the search results.
Transaction,Test for transaction limits and restrictions on various account types.,"1. Navigate to ""Transaction Limit"" Section:
2. View Transaction Limits:
3. Initiate Transactions:
4. Verify Successful Transactions:
5. Attempt Exceeding Transaction Limits:
6. Verify Error Message:","1.Access the section that displays transaction limits.
2.Verify that the application displays your transaction limits, such as daily, weekly, and monthly limits for various transaction types (e.g., fund transfers, bill payments).
3.Attempt to initiate transactions that are within the specified limits.
4.Confirm that transactions within the limits are processed successfully.
5.Try to initiate transactions that exceed the specified limits.
6.Ensure that the application displays an error message when attempting transactions beyond the limits."
Transaction, Verify that transactions are reflected correctly in account statements.,"1. Access the account statement or transaction history section of the application.
2. Review the list of recent transactions.
3. Verify the accuracy of transaction details.
4. Check for transaction statuses.
5. Confirm the balance calculation.
6. Filter transactions if necessary.
7. Generate a downloadable statement if needed.
8. Check for the inclusion of all transactions.
9. Ensure proper formatting and layout.","1.Navigate to the account statement or transaction history.
2.Examine the list of recent transactions within the account statement.
3.Ensure that each transaction's details, such as date, description, amount, and category, are accurate.
4.Transactions should be marked with appropriate statuses (e.g., pending, completed, failed).
5.The calculated balance should be consistent with the transaction history.
6.The application should allow filtering transactions by date, category, or other criteria.
7.Users should be able to generate and download a statement for their records.
8.The statement should include all recent transactions within the specified timeframe.
9.The statement's formatting and layout should be clear and easy to understand."
Transaction,"Test transactions with offline banking options (e.g., check deposits at ATMs).","1. Access the account statement or transaction history section of the application.
2. Review the list of recent transactions.
3. Verify the accuracy of transaction details.","1.Navigate to the account statement or transaction history.
2.Examine the list of recent transactions within the account statement.
3.Ensure that each transaction's details, such as date, description, amount, and category, are accurate."
Transaction, Verify the ability to dispute and investigate erroneous transactions.,"1. Access the account statement or transaction history.
2. Identify the erroneous transaction to dispute.
3. Select the disputed transaction.
4. Find the ""Dispute"" or ""Report a Problem"" option.
5. Enter details for the dispute:
6. Confirm the dispute submission.
7. Investigate the disputed transaction:
8. Notify the user of the investigation status.
9. Resolve the dispute:
10. Update the account statement.
11. Notify the user of the final outcome.","1.Navigate to the account statement or transaction history.
2.Locate the transaction that the user believes is erroneous.
3.Choose the disputed transaction for further investigation.
4.The application should provide an option to report a problem or dispute the transaction.
5.Provide information explaining the nature of the dispute, including any supporting documents or notes.
6.The application should acknowledge the dispute submission.
7.The bank or customer support team should initiate an investigation into the disputed transaction.
8.The user should receive updates on the progress of the investigation.
9.Once the investigation is complete, the bank should take appropriate actions, such as refunding the amount or denying the dispute.
10.The account statement should be updated to reflect the resolution of the dispute.
11.The user should be informed of the final decision regarding the dispute."
Transaction, Verify the handling of large transactions that may require additional authorization.,"1. Initiate a large transaction:
2. Verify the additional authorization request:
3. Complete the additional authorization:
4. Confirm the transaction:
5. Verify the transaction status:
6. Review account balances:
7. Confirm receipt of the transaction:
8. Check for error handling:","1.Initiate a transaction with an amount that exceeds a predefined threshold, triggering the need for additional authorization.
2.The application should prompt the user for additional authorization, which may include security questions, one-time passwords, or biometric verification.
3.Follow the provided instructions to complete the additional authorization process.
4.After successful additional authorization, confirm and authorize the transaction.
5.The application should promptly reflect the transaction status as pending or completed.
6.After processing, verify that the account balances are updated accurately.
7.Ensure that the recipient or intended party receives the payment or service as expected.
8.If there are issues with the additional authorization process, the application should provide clear information and support options."
Transaction,Verify that transactions are time-stamped accurately for auditing purposes.,"1. Initiate a transaction (e.g., payment, fund transfer).
2. Verify the transaction timestamp:
3. Confirm the transaction:
4. Verify the transaction status:
5. Review transaction history:
6. Check the accuracy of the timestamp:
7. Ensure consistency across platforms:
8. Access transaction audit logs if available:","1.Initiate a transaction within the application.
2.The application should timestamp the transaction with the precise date and time of the transaction initiation.
3.After verifying the timestamp, confirm and authorize the transaction.
4.The application should promptly reflect the transaction status as pending or completed, including the timestamp.
5.Access the transaction history section or statement to view the transaction and its timestamp.
6.The timestamp should accurately reflect the date and time of the transaction initiation.
7.Verify that the timestamp remains consistent across different platforms (web, mobile, ATM, etc.).
8.If audit logs are provided, check that the transaction is recorded with the correct timestamp for auditing purposes."
Transaction,Validate whether the user is able to filter the transactions and view the resulte,"1. Access the ""Transaction History"" or ""Transaction Search"" section.
2. Select the desired account or transaction type.
3. Apply filters for date range and transaction amount.
4. Enter keywords or transaction reference details.
5. Initiate the search or filter application.
6. Review the search results.
7. Click on a transaction for more details.
8. Reset or clear filters as needed.","1. Access the ""Transaction History"" or ""Transaction Search"" section.
2. Select the desired account or transaction type.
3. Apply filters for date range and transaction amount.
4. Enter keywords or transaction reference details.
5. Initiate the search or filter application.
6. Review the search results.
7. Click on a transaction for more details.
8. Reset or clear filters as needed."
Transaction,Validate whether the user is able to export or download the filtered transactions,"1. Access the ""Transaction History"" or ""Transaction Search"" section.
2. Select the desired account or transaction type.
3. Apply filters for date range and transaction amount.
4. Enter keywords or transaction reference details.
5. Initiate the search or filter application.
6. Review the search results.
7. Click on a transaction for more details.
8. Reset or clear filters as needed.
9. Export search results if available.
10. Verify that search results are accurate and complete.","1. Access the ""Transaction History"" or ""Transaction Search"" section.
2. Select the desired account or transaction type.
3. Apply filters for date range and transaction amount.
4. Enter keywords or transaction reference details.
5. Initiate the search or filter application.
6. Review the search results.
7. Click on a transaction for more details.
8. Reset or clear filters as needed.
9. Export search results if available.
10. Verify that search results are accurate and complete."
Account History and Archiving,View Account Transaction History,"1. Access the ""Transaction History"" or ""Account Statements"" section. 
2. Select the desired time frame (e.g., last month, last year). 
3. View the transaction history.","The user can view a list of transactions within the selected time frame, including details like date, description, amount, and balance."
Account History and Archiving,Download Account Statements,"1. Access the ""Account Statements"" or ""Statement Download"" section. 
2. Choose the desired statement (e.g., monthly statement). 
3. Download the statement in a preferred format (e.g., PDF).","The user can successfully download the selected account statement in the chosen format (e.g., PDF) for record-keeping or printing."
Account History and Archiving,Search for Specific Transactions,"1. Navigate to the ""Transaction Search"" or ""Search Transactions"" feature. 2. Enter search criteria (e.g., date range, transaction type, amount). 
3. Perform the search.","The application displays a list of transactions that match the search criteria, allowing the user to find specific transactions efficiently."
Account History and Archiving,View Archived Statements,"1. Access the ""Archived Statements"" or ""Old Statements"" section. 
2. Select the desired archived statement (e.g., from a previous year). 
3. View the archived statement.","The user can view archived statements, including details from previous years, ensuring access to historical financial records."
Account History and Archiving,Request Statement Re-Issuance,"1. Navigate to the ""Request Statement Re-Issuance"" or ""Statement Reprint"" section. 
2. Specify the statement to be re-issued (e.g., lost statement). 
3. Submit the request.","The system processes the request for re-issuing the specified statement, which can be sent to the user via email or postal mail."
Account History and Archiving,"Access Tax Statements (e.g., 1099 forms)","1. Go to the ""Tax Documents"" or ""Tax Statements"" section. 
2. Select the desired tax statement (e.g., 1099-INT). 
3. View or download the tax statement.","The user can access and view/download tax statements such as the 1099-INT, which may be required for tax reporting purposes."
Exporting Account Data,Export Account Statement,"1. Navigate to the ""Account Statements"" or ""Transaction History"" section. 
2. Select the desired statement period. 
3. Choose the export format (e.g., PDF, CSV). 
4. Initiate the export.",The account statement for the selected period is successfully exported in the chosen format. The file is downloaded and ready for use.
Exporting Account Data,Download Transaction History,"1. Access the ""Transaction History"" or ""Recent Transactions"" section. 
2. Apply any necessary filters or date ranges. 
3. Select the export option (e.g., Download CSV). 
4. Initiate the download.","The transaction history data is successfully exported in the selected format (e.g., CSV). The user can access the downloaded file for further analysis."
Exporting Account Data,Export Tax Statements,"1. Navigate to the ""Tax Statements"" or ""Year-End Statements"" section. 
2. Select the desired tax year or statement type. 
3. Choose the export format (e.g., PDF, Excel). 
4. Initiate the export.",The tax statement for the selected year and format is successfully exported. The user can access and use the tax statement for reporting purposes.
Exporting Account Data,Share Exported Data via Email,"1. Export account data (e.g., statement, transaction history). 
2. Choose the option to share via email. 
3. Enter the recipient's email address. 
4. Add a message (optional). 
5. Send the email.","The exported account data is shared with the specified recipient via email, and the recipient receives the email with the data attached."
Exporting Account Data,Save Exported Data to Cloud,"1. Export account data (e.g., statement, transaction history). 
2. Select the option to save to a cloud service (e.g., Google Drive, Dropbox). 
3. Provide necessary credentials for the cloud service. 
4. Save the data to the cloud.",The exported account data is successfully saved to the specified cloud storage service and can be accessed from the user's cloud account.
Transaction References and Receipts,Access Transaction Receipt,"1. Navigate to the ""Transaction History"" or ""Recent Transactions"" section. 
2. Locate the specific transaction. 
3. Access the transaction receipt or details.","The user can access the detailed receipt or information for the specific transaction, which includes transaction date, amount, transaction type, and reference number."
Transaction References and Receipts,Generate Transaction Receipt,"1. Complete a new transaction (e.g., transfer, bill payment). 
2. Access the transaction confirmation screen. 
3. Generate a transaction receipt or confirmation.",The user can generate a transaction receipt that includes all relevant transaction details. The receipt is successfully generated and available for download or sharing.
Transaction References and Receipts,View Transaction Reference Number,"1. Complete a new transaction (e.g., fund transfer, bill payment). 
2. Access the transaction confirmation screen. 
3. Note the reference number for the transaction.","The user can easily find and view the reference number for the transaction, ensuring transparency and aiding in tracking and verification."
Transaction References and Receipts,Download Receipt as PDF or Save as Image,1. Access the generated transaction receipt. 2. Choose the option to download as a PDF or save as an image. 3. Select the location to save the file.,The user can successfully download the transaction receipt as a PDF document or save it as an image. The saved file is accessible for future reference or sharing.
Transaction References and Receipts,Share Receipt via Email or Messaging App,"1. Access the generated transaction receipt. 
2. Choose the option to share via email or messaging app. 
3. Enter the recipient's email address or select a contact. 
4. Send the receipt.",The user can share the transaction receipt with the specified recipient via email or a messaging app. The recipient receives the receipt as intended.
Scheduled Transactions,Schedule a One-Time Payment,"1. Navigate to the ""Scheduled Transactions"" or ""Payments"" section. 
2. Select ""Schedule One-Time Payment."" 
3. Enter payment details (payee, amount, date). 
4. Confirm the payment.","The one-time payment is successfully scheduled for the specified date and amount, and a confirmation is displayed."
Scheduled Transactions,View Scheduled Payments,"1. Access the ""Scheduled Transactions"" or ""Payments"" section. 
2. View the list of scheduled payments.","The user can view a list of all their scheduled payments, including payee names, amounts, and scheduled dates."
Scheduled Transactions,Edit a Scheduled Payment,"1. Access the ""Scheduled Transactions"" or ""Payments"" section. 
2. Select the scheduled payment to edit. 
3. Modify payment details (amount, date). 
4. Confirm the changes.","The scheduled payment is successfully edited with the updated details, and a confirmation is displayed."
Scheduled Transactions,Cancel a Scheduled Payment,"1. Access the ""Scheduled Transactions"" or ""Payments"" section. 2. Select the scheduled payment to cancel. 3. Choose the option to cancel or delete.",The scheduled payment is successfully canceled and removed from the list of scheduled payments.
Scheduled Transactions,Set Up Recurring Payments,"1. Navigate to the ""Scheduled Transactions"" or ""Payments"" section. 
2. Select ""Set Up Recurring Payment."" 
3. Enter payment details (payee, amount, frequency). 4. Confirm the payment.","The recurring payment is successfully set up according to the specified frequency, and a confirmation is displayed."
Scheduled Transactions,View Recurring Payment Schedule,"1. Access the ""Scheduled Transactions"" or ""Payments"" section. 
2. View the list of recurring payments and their schedule.","The user can view a list of their recurring payments, including payee names, amounts, and payment frequencies."
Scheduled Transactions,Edit a Recurring Payment,"1. Access the ""Scheduled Transactions"" or ""Payments"" section. 
2. Select the recurring payment to edit. 
3. Modify payment details (amount, frequency). 
4. Confirm the changes.","The recurring payment is successfully edited with the updated details, and a confirmation is displayed."
Scheduled Transactions,Cancel a Recurring Payment,"1. Access the ""Scheduled Transactions"" or ""Payments"" section. 
2. Select the recurring payment to cancel. 
3. Choose the option to cancel or delete.",The recurring payment is successfully canceled and removed from the list of recurring payments.
Notification and Alerts,Set Up Account Alerts,"1. Navigate to the ""Alerts"" or ""Notifications"" section. 
2. Select the type of alert (e.g., balance change, transaction notification). 
3. Define alert settings (threshold amount, frequency, notification method). 
4. Save the alert settings.","Account alerts are successfully set up, and the user receives notifications based on the specified criteria."
Notification and Alerts,Modify Account Alert Settings,"1. Navigate to the ""Alerts"" or ""Notifications"" section. 
2. Select the existing alert to modify. 
3. Adjust alert settings (e.g., change threshold, update notification method). 
4. Save the modified alert settings.","Alert settings are modified, and the user continues to receive notifications based on the updated criteria."
Notification and Alerts,Enable/Disable Account Alerts,"1. Navigate to the ""Alerts"" or ""Notifications"" section. 
2. Select the existing alert to enable or disable. 
3. Toggle the alert status to enable or disable. 
4. Save the changes.","Enabled alerts continue to trigger notifications, while disabled alerts do not send notifications until re-enabled."
Notification and Alerts,Receive Real-Time Transaction Alerts,"1. Initiate a relevant transaction (e.g., fund transfer, card payment). 
2. Ensure real-time alerts are enabled. 
3. Complete the transaction.","The user receives real-time alerts for the completed transaction, providing details and confirmation."
Notification and Alerts,Set Up Low Balance Alert,"1. Navigate to the ""Alerts"" or ""Notifications"" section. 
2. Select ""Low Balance"" alert type. 
3. Specify the low balance threshold amount. 
4. Save the alert settings.","When the account balance falls below the defined threshold, the user receives an alert notification."
Notification and Alerts,Set Up Security Alerts,"1. Navigate to the ""Alerts"" or ""Notifications"" section. 
2. Choose ""Security Alerts."" 
3. Select the types of security events to be notified about (e.g., login from a new device, password change). 
4. Save the alert settings.","The user receives security alerts for the specified events, enhancing account security."
Notification and Alerts,Test Alert Notifications,"1. Simulate an event or transaction that triggers an alert (e.g., make a transaction exceeding the alert threshold). 
2. Verify that the alert notification is received promptly.","The alert notification is sent in real-time when the triggering event occurs, and the user is informed as expected."
Securing Messages,Send a Secure Message,"1. Access the ""Secure Messaging"" or ""Contact Us"" section. 
2. Compose a secure message. 
3. Select a recipient from the list. 4. Send the message.",The secure message is successfully composed and sent to the specified recipient. The message content is encrypted and secure.
Securing Messages,View Secure Message,"1. Access the ""Secure Messaging"" or ""Inbox"" section. 
2. Locate the received secure message. 
3. Open the message to view its content.",The user can view the received secure message and read its content. The message remains encrypted for security.
Securing Messages,Reply to a Secure Message,"1. Access the ""Secure Messaging"" or ""Inbox"" section. 
2. Open a received secure message. 
3. Choose the option to reply. 4. Compose and send the reply.","The user can successfully reply to a received secure message, and the reply is sent securely to the sender."
Securing Messages,Attach Documents to Secure Message,"1. Compose a secure message. 
2. Attach one or more documents to the message. 
3. Send the secure message.",The secure message with attached documents is successfully composed and sent securely to the recipient.
Securing Messages,Delete Secure Messages,"1. Access the ""Secure Messaging"" or ""Inbox"" section. 
2. Select one or more secure messages. 
3. Choose the option to delete.","The selected secure messages are successfully deleted from the inbox, enhancing user control over their secure messages."
Delayed Notifications,Delay in Notification Delivery,"1. Trigger an event that should prompt a notification or alert.  
2. Monitor the time taken for the notification to appear in the app.",Notifications or alerts should be promptly delivered within an acceptable timeframe (usually near real-time). Any significant delays beyond the expected timeframe should be investigated and rectified.
Incorrect Notifications,Receiving Incorrect or Misleading Notifications,"1. Trigger an event that should generate a notification. 
2. Verify the content and accuracy of the notification received.",The notification content should accurately represent the event or information it intends to convey. Any misleading or incorrect notifications should be reported and rectified to provide users with precise and reliable information.
Notification Failure,Notifications Not Being Delivered,"1. Trigger an event that should prompt a notification.  
2. Verify if the expected notification is received within the app.",All relevant notifications related to user-initiated actions or important banking updates should be consistently delivered. Failure to receive these notifications should be addressed immediately to ensure users stay informed about their account activities.
Inconsistent Alerts,Inconsistency in Alert Settings,"1. Access the notification/alert settings within the app.  
2. Modify the settings to enable/disable certain types of alerts.","Changes in alert settings should reflect accurately, and users should receive or not receive alerts based on their preference settings. Inconsistencies or failures in adhering to these settings need to be addressed and fixed."
Duplicate Notifications,Receiving Duplicate Notifications,"1. Trigger an event that should generate a notification.  
2. Check for multiple instances or duplicates of the same notification.","Notifications should not be duplicated or sent repeatedly for the same event or action. Duplicate notifications clutter the interface and may confuse users, so the system should prevent or manage such instances effectively."
Banking Service Requests,Account Closure Request,"1. Access the ""Account Closure"" section.
2. Select the account to be closed.
3. Provide a reason for closure.
4. Confirm the account closure request.
5. Verify account closure confirmation.","1.Navigate to the account closure request section.
2.Choose the account you want to close.
3.Enter a reason for closing the account (e.g., not needed, changing banks).
4.The request should be submitted, and a confirmation message provided.
5.Ensure the account is closed, and the user receives a final account statement, if applicable."
Banking Service Requests,Address Change Request,"1. Access the ""Address Change"" section.
2. Provide the new address details.
3. Upload necessary documents.
4. Submit the address change request.
5. Verify address update confirmation.","1.Navigate to the address change request section.
2.Enter the updated address, including street, city, state, and postal code.
3.If required, upload supporting documents, such as proof of address.
4.The request should be submitted with a confirmation message.
5.Confirm that the address is updated in the user's account records."
Banking Service Requests,Debit Card Replacement Request,"1. Access the ""Card Replacement"" section.
2. Select the reason for replacement.
3. Confirm the replacement request.
4. Receive the replacement card.
4. Submit the address change request.
5. Verify address update confirmation.","1.Navigate to the debit card replacement request section.
2.Choose the reason for the replacement (e.g., lost, damaged).
3.The request should be submitted, and a confirmation message provided.
4.The user should receive the new debit card at the registered address.
5.The request should be submitted with a confirmation message.
Confirm that the address is updated in the user's account records."
Banking Service Requests,Checkbook Request,"1. Access the ""Checkbook Request"" section.
2. Select the account for which a checkbook is needed.
3. Specify the number of check leaves.
4. Review and confirm the checkbook request.
5. Receive confirmation of the checkbook request.
6. Await delivery of the new checkbook.","1.Navigate to the checkbook request section within the banking application.
2.Choose the specific account associated with the checkbook request.
3.Enter the desired number of check leaves required in the new checkbook.
4.Verify the details, and confirm the request to order a new checkbook.
5.The application should provide a confirmation message with an order reference number.
6.The user should receive the new checkbook at the registered address within the specified delivery time frame."
Banking Service Requests,Loan Application Request,"1. Access the ""Loan Application"" section.
2. Select the type of loan.
3. Enter loan details and amount.
4. Submit required documents.
5. Review and confirm the loan application.
6. Receive confirmation of the loan application.
7. Await loan processing and approval.","1.Navigate to the loan application request section in the banking application.
2.Choose the specific type of loan the user wishes to apply for (e.g., personal loan, mortgage).
3.Provide all necessary loan details, including the desired loan amount and repayment term.
4.Upload any necessary documents for the loan application, such as income proof and identification.
5.Verify all details and confirm the loan application request.
6.The application should provide a confirmation message along with an application reference number.
7.The user should be informed of the loan processing status, and once approved, the funds should be disbursed."
Banking Service Requests,Balance Inquiry Request,"1. Access the ""Balance Inquiry"" section.
2. Select the account to inquire about.
3. Initiate the balance inquiry.
4. Review and confirm the inquiry.
5. Receive the account balance details.","1.Navigate to the balance inquiry section within the banking application.
2.Choose the specific account for which the user wants to check the balance.
3.Initiate the inquiry to retrieve the account balance information.
4.Verify the accuracy of the balance inquiry request and confirm it.
5.The application should promptly display the current balance for the selected account."
Banking Service Requests,Name Change Request,"1. Access the ""Name Change Request"" section.
2. Provide the current account information.
3. Specify the new name to be updated.
4. Upload supporting documentation.
5. Review and confirm the name change request.
6. Receive confirmation of the name change request.
7. Await processing and confirmation of the name change.","1.Navigate to the name change request section within the banking application.
2.Enter the account details, including the current account holder name and account number.
3.Enter the new name that should replace the current name on the account.
4.Upload any necessary legal documents supporting the name change (e.g., marriage certificate, court order).
5.Verify all details and confirm the request for the name change.
6.The application should provide a confirmation message along with a reference number for the request.
7.The user should receive confirmation once the name change is successfully processed and updated in the system."
Banking Service Requests,Beneficiary Change Request,"1. Access the ""Beneficiary Change Request"" section.
2. Select the account or policy for which the beneficiary information should be updated.
3. Provide the current beneficiary details.
4. Specify the new beneficiary details.
5. Upload supporting documentation.
6. Review and confirm the beneficiary change request.
7. Receive confirmation of the beneficiary change request.
8. Await processing and confirmation of the beneficiary change.","1.Navigate to the beneficiary change request section within the banking application.
2.Choose the specific account or policy associated with the beneficiary change request.
3.Enter the existing beneficiary information to confirm the requested change.
4.Enter the updated beneficiary information, including name, relationship, and contact information.
5.If required, upload any necessary documents supporting the beneficiary change request (e.g., legal documents, beneficiary designation forms).
6.Verify all details and confirm the request for the beneficiary change.
7.The application should provide a confirmation message along with a reference number for the request.
8.The user should receive confirmation once the beneficiary change is successfully processed and updated in the system."
Banking Service Requests,Overdraft Protection Request,"1. Access the ""Overdraft Protection"" section.
2. Select the account for which overdraft protection should be updated.
3. Choose the action (enable or disable overdraft protection).
4. Confirm the overdraft protection request.
5. Verify the status of overdraft protection.","1.Navigate to the overdraft protection request section within the banking application.
2.Choose the specific account associated with the overdraft protection request.
3.Select whether to enable or disable overdraft protection for the account.
4.The request should be submitted, and a confirmation message provided.
5.Ensure that the selected overdraft protection status (enabled or disabled) is accurately reflected for the account."
Banking Service Requests,Credit Limit Increase Request,"1. Access the ""Credit Limit Increase"" section.
2. Select the specific credit card for which the limit increase is desired.
3. Specify the desired credit limit.
4. Provide income and financial information.
5. Review and confirm the limit increase request.
6. Receive confirmation of the limit increase request.
7. Await processing and approval of the limit increase.","1.Navigate to the credit limit increase request section within the banking application.
2.Choose the credit card account for which the user wants to request a limit increase.
3.Enter the new credit limit that the user wishes to have for their credit card.
4.Enter any required financial information, such as income, employment details, or additional documents, as requested for the limit increase.
5.Verify all details and confirm the request for the credit limit increase.
6.The application should provide a confirmation message along with an application reference number.
7.The user should be informed of the processing status, and if approved, the new credit limit should be updated on the credit card account."
Banking Service Requests,Card Activation Request,"1. Access the ""Card Activation"" section.
2. Select the card to be activated.
3. Enter the card details.
4. Confirm the card activation request.
5. Receive confirmation of card activation.","1.Navigate to the card activation request section within the banking application.
2.Choose the specific credit or debit card that the user needs to activate.
3.Provide the required card information, such as the card number, expiration date, and CVV.
4.The request should be submitted, and a confirmation message provided.
5.The application should confirm the successful activation of the card and provide information on the card's status and usability."
Banking Service Requests,Bill Payment and Transfer Requests,"1. Access the ""Bill Payment and Transfers"" section.
2. Select the payment/transfer type.
3. Choose the source account.
4. Enter payee/recipient details.
5. Specify the payment date.
6. Review and confirm the request.
7. Receive confirmation of the payment/transfer request.
8. Monitor the status of the transaction.","1.Navigate to the section where bill payments and transfers can be initiated.
2.Choose whether the user wants to make a bill payment or a fund transfer.
3.Select the account from which the payment or transfer will be made.
4.Provide the details of the payee or recipient, including account numbers, names, and payment/transfer amounts.
5.Choose the date on which the payment or transfer should be processed, including any recurring payment options.
6.Verify all details and confirm the bill payment or transfer request.
7.The application should provide a confirmation message along with a reference number.
8.Users should be able to check the status of the payment or transfer, ensuring it's processed correctly and promptly."
Banking Service Requests,Stop Payment Request,"1. Access the ""Stop Payment Request"" section.
2. Select the account associated with the payment.
3. Specify the payment details.
4. Indicate the reason for the stop payment.
5. Confirm the stop payment request.
6. Receive confirmation of the stop payment request.","1.Navigate to the stop payment request section within the banking application.
2.Choose the account from which the payment was made or the check was drawn.
3.Provide the check number, transaction details, or other payment-related information to identify the payment to be stopped.
4.Select the reason for requesting the stop payment (e.g., lost check, error).
5.The request should be submitted, and a confirmation message provided.
6.The application should confirm the successful stop payment request and provide information on the request's status."
Banking Service Requests,Statement Request,"1. Access the ""Statement Request"" section.
2. Select the account for which the statement is needed.
3. Specify the statement period.
4. Choose the statement format (e.g., PDF, CSV).
5. Confirm the statement request.
6. Receive the requested statement.","1.Navigate to the statement request section within the banking application.
2.Choose the specific bank account for which the user wants to request a statement.
3.Indicate the period for which the statement is required, specifying start and end dates or other relevant details.
4.Select the desired format for the statement, such as PDF, CSV, or other supported options.
5.The request should be submitted, and a confirmation message provided.
6.The user should receive the statement in the chosen format within the specified time frame."
Banking Service Requests,Direct Deposit Setup Request,"1. Access the ""Direct Deposit Setup"" section.
2. Select the account for which direct deposit should be set up.
3. Provide employer or payer information.
4. Specify the deposit amount and frequency.
5. Review and confirm the direct deposit setup.
6. Receive confirmation of the setup request.","1.Navigate to the direct deposit setup request section within the banking application.
2.Choose the specific bank account for which direct deposit is being set up.
3.Enter the necessary information, such as the employer's name, payer details, and any required routing and account numbers.
4.Indicate the deposit amount and how often the direct deposit should be made (e.g., monthly, bi-weekly).
5.Verify all details and confirm the request for direct deposit setup.
6.The application should confirm the successful setup of direct deposit and provide relevant details."
Banking Service Requests,Dispute Resolution Request,"1. Access the ""Dispute Resolution Request"" section.
2. Select the transaction or charge in dispute.
3. Provide details of the dispute.
4. Confirm the dispute request.
5. Receive confirmation of the dispute request.
6. Monitor the status of the dispute resolution.","1.Navigate to the dispute resolution request section within the banking application.
2.Choose the specific transaction or charge that the user wishes to dispute.
3.Enter information explaining the reason for the dispute, including any supporting documents or evidence.
4.The request should be submitted, and a confirmation message provided.
5.The application should confirm the successful submission of the dispute and provide information on the dispute resolution process.
6.Users should be able to track the progress of the dispute resolution and receive updates on its status."
Banking Service Requests,Document Upload Request,"1. Access the ""Document Upload Request"" section.
2. Select the request or purpose for document upload.
3. Upload the required documents.
4. Provide additional information if needed.
5. Confirm the document upload request.
6. Receive confirmation of the document upload request.","1.Navigate to the document upload request section within the banking application.
2.Choose the specific reason or request for which the documents need to be uploaded (e.g., address verification, loan application).
3.Select the documents from the device's storage and upload them to the application.
4.Enter any additional details or context related to the uploaded documents.
5.The request should be submitted, and a confirmation message provided.
6.The application should confirm the successful submission of the document and provide information on the next steps."
Banking Service Requests,Service Suspension or Reactivation Request,"1. Access the ""Service Suspension or Reactivation"" section.
2. Select the specific service(s) to be suspended or reactivated.
3. Specify the duration and effective date.
4. Indicate the reason for the request.
5. Confirm the suspension or reactivation request.
6. Receive confirmation of the request.
7. Monitor the status of the request.","1.Navigate to the service suspension or reactivation request section within the banking application.
2.Choose the service(s) that the user wishes to suspend or reactivate (e.g., debit card, online banking).
3.Provide details on the duration of the suspension/reactivation and the effective date.
4.Select the reason for the request (e.g., lost card, temporary deactivation).
5.The request should be submitted, and a confirmation message provided.
6.The application should confirm the successful submission of the request and provide information on the service's status.
7.Users should be able to track the progress of the service suspension or reactivation and receive updates on its status."
Banking Service Requests,Secure Message Request,"1. Access the ""Secure Message"" section.
2. Compose a new secure message or select an existing conversation.
3. Enter the message content.
4. Specify the priority or urgency (if applicable).
5. Confirm the secure message request.
6. Receive a confirmation of the message submission.
7. Await a response from the bank.","1.Navigate to the secure message request section within the banking application.
2.Choose to either compose a new secure message or continue an existing conversation with the bank.
3.Compose the secure message, including the subject, message body, and any necessary attachments.
4.Indicate the priority or urgency level for the message, if relevant.
5.The message should be submitted, and a confirmation message provided.
6.The application should confirm the successful submission of the secure message.
7.Users should receive a response to the secure message from the bank within a reasonable time frame."
Banking Service Requests,Escalation Request,"1. Access the ""Escalation Request"" section.
2. Select the issue or concern to be escalated.
3. Provide a clear explanation of the escalation.
4. Specify the desired resolution or outcome.
5. Confirm the escalation request.
6. Receive confirmation of the escalation request.
7. Monitor the status of the escalation.","1.Navigate to the escalation request section within the banking application.
2.Choose the specific issue or concern that requires escalation, providing relevant details.
3.Compose a message that clearly explains the issue, reasons for escalation, and desired outcome.
4.Indicate the specific resolution or outcome expected from the escalation.
5.The request should be submitted, and a confirmation message provided.
6.The application should confirm the successful submission of the escalation request and provide information on the escalation process.
7.Users should be able to track the progress of the escalation request and receive updates on its status."
Incorrect Details,Submitting Request with Incorrect or Incomplete Information,"1. Access the ""Banking Service Request"" section.  
2. Fill in the request form with incorrect or incomplete details.","The application should identify and prompt the user to correct or complete the required fields, preventing the submission until accurate and complete information is provided."
